SEQENCE_ID                     TM SP PREDICTION
PF3D7_0113300.1-p1              1  0 i12-35o
PF3D7_0113400.1-p1              2  0 o47-67i412-430o
PF3D7_0113700.1-p1              1  0 i12-32o
PF3D7_0113800.1-p1              2  0 o1410-1435i2350-2370o
PF3D7_0113900.1-p1              2  Y n8-19c24/25o159-179i191-213o
PF3D7_0114000.1-p1              1  0 i32-59o
PF3D7_0114200.1-p1              1  Y n4-15c19/20o301-326i
PF3D7_0114500.1-p1              2  0 o6-26i93-109o
PF3D7_0114700.1-p1              1  Y n8-19c27/28o293-315i
PF3D7_0114750.1-p1              0  0 i
PF3D7_0114800.1-p1              3  0 o6-22i157-181o187-204i
PF3D7_0115000.1-p1              2  0 o331-351i623-641o
PF3D7_0115100.1-p1              1  0 i12-33o
PF3D7_0115200.1-p1              1  0 o329-348i
PF3D7_0115300.1-p1              1  Y n8-17c21/22o294-316i
PF3D7_0115400.1-p1              2  0 i182-201o259-283i
PF3D7_0115600.1-p1              1  0 o337-359i
PF3D7_0115700.1-p1              1  0 o1747-1768i
PF3D7_0200100.1-p1              1  0 o1245-1267i
PF3D7_0200200.1-p1              1  Y n8-18c22/23o292-314i
PF3D7_0200300.1-p1              1  0 i12-27o
PF3D7_0200400.1-p1              3  Y n8-15c20/21o182-201i222-242o262-286i
PF3D7_0200500.1-p1              1  0 o331-350i
PF3D7_0200600.1-p1              1  Y n8-19c24/25o334-355i
PF3D7_0200700.1-p1              1  0 o289-310i
PF3D7_0201000.1-p1              1  Y n8-15c19/20o268-292i
PF3D7_0201100.1-p1              0  0 i
PF3D7_0201200.1-p1              1  Y n8-19c23/24o315-336i
PF3D7_0201300.1-p1              1  Y n9-16c21/22o266-287i
PF3D7_0201400.1-p1              2  0 o6-26i131-154o
PF3D7_0201500.1-p1              2  0 i12-35o205-231i
PF3D7_0201600.1-p1              1  0 i52-73o
PF3D7_0201700.1-p1              1  0 i12-30o
PF3D7_0201800.1-p1              1  0 i12-30o
PF3D7_0201900.1-p1              1  0 i15-34o
PF3D7_0202000.1-p1              1  0 i15-32o
PF3D7_0202100.1-p1              1  0 i40-62o
PF3D7_0202200.1-p1              3  0 o54-73i222-239o245-263i
PF3D7_0202300.1-p1              2  0 i23-41o53-69i
PF3D7_0202500.1-p1              1  Y n6-16c21/22o48-72i
PF3D7_0202800.1-p1              0  0 i
PF3D7_0203600.1-p1              2  0 i121-141o473-495i
PF3D7_0203800.1-p1              1  0 i64-83o
PF3D7_0204100.1-p1              0  Y n5-17c21/22o
PF3D7_0204200.1-p1              1  0 o6-24i
PF3D7_0204400.1-p1              0  0 i
PF3D7_0204700.1-p1             12  0 i21-42o79-98i105-125o131-152i164-184o204-228i293-314o329-352i359-378o390-415i427-450o456-476i
PF3D7_0205100.1-p1              0  0 i
PF3D7_0205400.1-p1              0  0 i
PF3D7_0205600.1-p1              1  0 o354-373i
PF3D7_0206100.1-p1              1  0 o6-26i
PF3D7_0206200.1-p1             11  0 i95-114o126-144i151-173o193-212i219-239o321-341i353-372o392-411i418-438o458-479i510-529o
PF3D7_0206800.1-p1              1  0 o253-271i
PF3D7_0206900.1-p1              2  0 o6-23i247-271o
PF3D7_0207000.1-p1              2  0 o6-32i246-271o
PF3D7_0207100.1-p1              0  0 i
PF3D7_0207200.1-p1              0  0 i
PF3D7_0207300.1-p1              0  0 i
PF3D7_0207400.1-p1              0  Y n5-16c22/23o
PF3D7_0207500.1-p1              0  0 i
PF3D7_0207600.1-p1              0  Y n5-12c16/17o
PF3D7_0207700.1-p1              0  Y n3-11c16/17o
PF3D7_0207800.1-p1              0  Y n3-14c18/19o
PF3D7_0207900.1-p1              0  Y n5-16c22/23o
PF3D7_0208000.1-p1              1  0 i7-24o
PF3D7_0208100.1-p1              0  0 i
PF3D7_0208300.1-p1              1  0 o1715-1734i
PF3D7_0208400.1-p1              3  0 o489-514i913-934o1340-1359i
PF3D7_0208500.1-p1              0  Y n3-11c16/17o
PF3D7_0208600.1-p1              1  0 i15-34o
PF3D7_0208800.1-p1              2  0 o6-25i206-223o
PF3D7_0208900.1-p1              1  0 i18-35o
PF3D7_0209000.1-p1              0  Y n4-15c20/21o
PF3D7_0209200.1-p1              0  0 i
PF3D7_0209400.1-p1              0  0 i
PF3D7_0209600.1-p1             13  0 i436-459o465-483i504-525o634-653i660-681o701-725i746-767o807-832i844-861o881-899i911-931o937-958i1054-1075o
PF3D7_0210000.1-p1              1  0 i48-73o
PF3D7_0210200.1-p1              0  0 i
PF3D7_0210300.1-p1             12  0 i20-45o57-78i85-103o109-131i143-168o201-221i283-306o318-336i348-368o374-396i408-430o436-456i
PF3D7_0210500.1-p1              0  0 i
PF3D7_0210600.1-p1              0  Y n10-21c26/27o
PF3D7_0210700.1-p1              1  0 o290-310i
PF3D7_0210800.1-p1              3  Y n9-20c25/26o257-279i360-380o386-402i
PF3D7_0211100.1-p1              0  0 i
PF3D7_0211200.1-p1              0  0 i
PF3D7_0211500.1-p1              3  0 i204-221o241-267i288-314o
PF3D7_0212000.1-p1              8  0 i5-25o37-54i83-104o110-128i135-156o162-180i192-211o226-247i
PF3D7_0212400.1-p1             11  0 i244-265o1793-1814i1945-1962o2823-2842i2863-2882o2888-2906i3077-3098o3141-3159i3277-3297o3344-3365i3407-3425o
PF3D7_0212600.1-p1              0  Y n6-16c21/22o
PF3D7_0212800.1-p1             11  0 o486-503i512-533o553-577i597-618o638-656i668-690o1014-1034i1086-1108o1128-1149i1161-1181o1187-1208i
PF3D7_0213000.1-p1              1  0 o30-47i
PF3D7_0213100.1-p1              0  0 i
PF3D7_0213300.1-p1              0  0 i
PF3D7_0213600.1-p1              2  0 o854-873i880-897o
PF3D7_0213700.1-p1              0  0 i
PF3D7_0213800.1-p1              0  0 i
PF3D7_0214000.1-p1              0  0 i
PF3D7_0214100.1-p1              0  0 i
PF3D7_0214500.1-p1              0  0 i
PF3D7_0214800.1-p1             10  0 i30-54o94-123i212-231o243-263i554-572o578-597i618-645o728-761i782-802o1120-1141i
PF3D7_0214900.1-p1              0  Y n4-12c17/18o
PF3D7_0215100.1-p1              0  0 i
PF3D7_0215400.1-p1              0  0 i
PF3D7_0215500.1-p1              0  0 i
PF3D7_0215600.1-p1              4  0 i248-267o301-322i349-365o371-390i
PF3D7_0216200.1-p1              0  0 i
PF3D7_0216300.1-p1              6  0 i164-184o204-225i408-427o985-1004i1206-1225o1231-1252i
PF3D7_0216400.1-p1              0  0 i
PF3D7_0216600.1-p1              7  Y n7-20c25/26o382-406i418-436o442-463i475-495o501-522i534-554o560-582i
PF3D7_0216800.1-p1             14  0 i12-31o37-57i69-89o101-121i146-171o177-203i224-247o727-748i775-798o804-827i847-868o962-986i1007-1028o1040-1059i
PF3D7_0217000.1-p1             15  0 o6-25i32-50o56-78i112-131o137-161i173-194o238-258i439-460o466-485i642-667o687-714i721-741o761-787i874-891o897-916i
PF3D7_0217200.1-p1              3  0 o1455-1474i1495-1516o1528-1544i
PF3D7_0217300.1-p1              0  0 i
PF3D7_0217400.1-p1              1  0 o90-109i
PF3D7_0218000.1-p1              0  0 i
PF3D7_0218100.1-p1              6  0 i100-123o138-159i234-252o258-276i288-306o318-339i
PF3D7_0219300.1-p1              1  0 i81-101o
PF3D7_0219400.1-p1              1  0 i74-95o
PF3D7_0219700.1-p1              1  0 i21-45o
PF3D7_0219800.1-p1              1  0 i12-30o
PF3D7_0219900.1-p1              3  0 o47-69i176-194o200-221i
PF3D7_0220000.1-p1              2  0 i45-64o1439-1472i
PF3D7_0220100.1-p1              1  0 i41-65o
PF3D7_0220200.1-p1              2  0 o6-21i131-158o
PF3D7_0220300.1-p1              3  0 o6-23i114-133o156-179i
PF3D7_0220500.1-p1              0  Y n8-20c26/27o
PF3D7_0220600.1-p1              2  0 o12-30i176-208o
PF3D7_0220700.1-p1              2  0 i49-67o207-229i
PF3D7_0220800.1-p1              1  Y n7-18c24/25o1226-1243i
PF3D7_0221000.1-p1              2  Y n3-14c19/20o152-180i268-291o
PF3D7_0221200.1-p1              3  0 o6-22i150-175o181-205i
PF3D7_0221400.1-p1              3  0 o6-24i231-252o268-289i
PF3D7_0221700.1-p1              0  Y n3-11c23/24o
PF3D7_0221800.1-p1              0  0 i
PF3D7_0222500.1-p1              1  Y n8-19c24/25o274-296i
PF3D7_0222600.1-p1              1  0 o327-348i
PF3D7_0222700.1-p1              1  Y n8-19c26/27o306-328i
PF3D7_0222800.1-p1              1  Y n9-16c21/22o266-286i
PF3D7_0223100.1-p1              1  0 o289-310i
PF3D7_0223200.1-p1              1  Y n8-19c26/27o303-325i
PF3D7_0223400.1-p1              1  0 o286-307i
PF3D7_0223500.1-p1              1  0 o1746-1767i
PF3D7_0300100.1-p1              1  0 o1751-1772i
PF3D7_0300200.1-p1              1  0 o284-306i
PF3D7_0300400.1-p1              1  Y n9-16c21/22o253-278i
PF3D7_0300500.1-p1              1  Y n8-19c26/27o317-339i
PF3D7_0300600.1-p1              0  0 i
PF3D7_0300700.1-p1              1  Y n8-15c19/20o327-348i
PF3D7_0300900.1-p1              0  Y n8-15c20/21o
PF3D7_0301100.1-p1              2  0 i186-211o226-244i
PF3D7_0301400.1-p1              2  0 i7-25o207-231i
PF3D7_0301500.1-p1              1  0 i24-43o
PF3D7_0301600.1-p1              1  0 i45-64o
PF3D7_0301700.1-p1              2  0 i42-60o233-264i
PF3D7_0301800.1-p1              1  0 i54-73o
PF3D7_0301900.1-p1              1  0 o161-179i
PF3D7_0302500.1-p1              1  Y n7-18c24/25o1200-1224i
PF3D7_0302600.1-p1              7  0 o6-22i168-191o232-259i299-325o331-353i410-433o761-779i
PF3D7_0302700.1-p1              0  0 i
PF3D7_0302900.1-p1              0  0 i
PF3D7_0303000.1-p1              0  0 i
PF3D7_0303100.1-p1              2  0 o608-625i645-667o
PF3D7_0303500.1-p1              0  0 i
PF3D7_0303800.1-p1              0  0 i
PF3D7_0303900.1-p1              0  Y n7-17c22/23o
PF3D7_0304300.1-p1              1  0 i21-39o
PF3D7_0304500.1-p1              0  0 i
PF3D7_0304600.1-p1              1  Y n5-16c20/21o376-396i
PF3D7_0304700.1-p1              0  Y n4-14c21/22o
PF3D7_0304800.1-p1              8  0 o170-186i207-225o231-250i544-562o774-794i832-857o1087-1106i1394-1414o
PF3D7_0305100.1-p1              6  0 o1509-1536i1819-1836o2299-2319i2741-2760o2936-2959i2971-2989o
PF3D7_0305300.1-p1             12  0 i421-439o445-467i474-498o510-528i564-584o596-620i755-777o789-807i828-848o854-873i894-919o925-949i
PF3D7_0305400.1-p1              0  0 i
PF3D7_0305500.1-p1             21  0 i69-90o102-125i137-153o159-184i783-805o817-836i843-862o1186-1201i1465-1485o1705-1721i1838-1854o1860-1877i1999-2017o2865-2884i2905-2923o2935-2951i3020-3037o3074-3092i3194-3210o3216-3233i3274-3297o
PF3D7_0305700.1-p1              0  0 i
PF3D7_0305900.1-p1              3  0 i103-123o129-147i154-172o
PF3D7_0306700.1-p1              1  Y n7-18c23/24o47-67i
PF3D7_0306800.1-p1              0  0 i
PF3D7_0307800.1-p1              1  0 i7-25o
PF3D7_0308800.1-p1              0  0 i
PF3D7_0308900.1-p1              2  0 o712-733i745-764o
PF3D7_0309100.1-p1              0  Y n10-18c22/23o
PF3D7_0309900.1-p1              2  0 o650-670i1070-1091o
PF3D7_0310400.1-p1              0  Y n3-13c17/18o
PF3D7_0310700.1-p1              0  0 i
PF3D7_0310800.1-p1              2  0 i7-26o46-64i
PF3D7_0311000.1-p1              2  0 i84-109o115-143i
PF3D7_0311500.1-p1              2  0 i21-45o51-77i
PF3D7_0311900.1-p1              1  0 o595-615i
PF3D7_0312000.1-p1              0  0 i
PF3D7_0312300.1-p1              0  0 i
PF3D7_0312500.1-p1             12  0 i12-30o66-89i96-119o131-148i198-218o230-253i385-408o420-441i448-468o474-495i507-524o544-564i
PF3D7_0312900.1-p1              0  0 i
PF3D7_0313200.1-p1              0  0 i
PF3D7_0313300.1-p1              0  Y n3-13c17/18o
PF3D7_0313500.1-p1              1  0 o816-834i
PF3D7_0313700.1-p1              0  Y n4-15c22/23o
PF3D7_0313800.1-p1              1  0 o6-26i
PF3D7_0313900.1-p1              1  Y n9-16c21/22o1036-1058i
PF3D7_0314000.1-p1              0  Y n4-15c20/21o
PF3D7_0314100.1-p1              1  0 i172-195o
PF3D7_0314200.1-p1              1  0 i211-230o
PF3D7_0314300.1-p1              6  Y n6-16c20/21o182-200i221-243o263-284i349-365o385-404i425-444o
PF3D7_0314600.1-p1              0  0 i
PF3D7_0314800.1-p1              0  0 i
PF3D7_0314900.1-p1              5  0 o436-461i482-502o508-529i536-552o572-588i
PF3D7_0315000.1-p1              0  0 i
PF3D7_0315200.1-p1              1  Y n4-15c23/24o2049-2070i
PF3D7_0315400.1-p1              1  0 o6-25i
PF3D7_0315700.1-p1             14  0 i66-86o106-129i141-159o242-261i270-295o315-336i348-367o425-447i663-681o693-716i728-749o755-778i846-865o885-904i
PF3D7_0315900.1-p1              1  0 o6-23i
PF3D7_0316000.1-p1              1  0 o250-267i
PF3D7_0316200.1-p1              7  0 i246-264o270-294i966-984o1014-1038i1306-1326o1900-1918i2037-2055o
PF3D7_0316400.1-p1              1  Y n4-15c20/21o885-901i
PF3D7_0316500.1-p1              0  0 i
PF3D7_0316600.1-p1              7  0 o47-71i83-106o126-148i185-204o210-228i235-255o261-281i
PF3D7_0316700.1-p1              3  0 o71-100i121-148o154-174i
PF3D7_0317000.1-p1              0  0 i
PF3D7_0317100.1-p1              0  Y n7-16c21/22o
PF3D7_0317500.1-p1              0  0 i
PF3D7_0317900.1-p1              1  0 o445-465i
PF3D7_0318000.1-p1              0  Y n4-14c19/20o
PF3D7_0318100.1-p1              0  0 i
PF3D7_0318300.1-p1              1  0 o6-27i
PF3D7_0318500.1-p1             17  0 i627-643o655-672i721-743o1046-1066i1133-1155o1167-1187i1199-1217o1223-1240i1534-1552o1564-1581i2161-2178o2527-2546i2743-2763o2783-2801i3448-3468o3885-3902i3935-3953o
PF3D7_0318700.1-p1              0  0 i
PF3D7_0318900.1-p1              2  0 i5-21o80-100i
PF3D7_0319200.1-p1              0  0 i
PF3D7_0319300.1-p1              0  0 i
PF3D7_0319700.1-p1             15  0 i21-41o577-597i618-647o653-675i682-702o708-733i753-776o1590-1608i1620-1638o2010-2028i2049-2077o2083-2106i2113-2139o2145-2169i2242-2261o
PF3D7_0319800.1-p1              0  0 i
PF3D7_0319900.1-p1              0  0 i
PF3D7_0320100.1-p1              1  0 i196-217o
PF3D7_0320200.1-p1              0  Y n3-14c18/19o
PF3D7_0320300.1-p1              0  0 i
PF3D7_0320400.1-p1              0  Y n9-20c28/29o
PF3D7_0321000.1-p1              1  0 i7-25o
PF3D7_0321100.1-p1              1  0 o1171-1195i
PF3D7_0321300.1-p1              2  0 i305-324o890-914i
PF3D7_0321900.1-p1             11  0 o103-126i412-428o434-457i792-809o815-833i1022-1046o1052-1074i1094-1117o1129-1149i1211-1229o1235-1264i
PF3D7_0322500.1-p1              0  0 i
PF3D7_0322600.1-p1              3  0 o856-875i1229-1248o1282-1300i
PF3D7_0322700.1-p1             13  0 o936-959i1035-1055o1571-1594i1615-1631o1706-1723i1930-1950o2344-2362i2445-2461o2467-2485i2945-2964o2970-2989i3001-3021o3077-3095i
PF3D7_0323200.1-p1              1  Y n16-27c35/36o328-348i
PF3D7_0323300.1-p1              0  0 i
PF3D7_0323400.1-p1              0  Y n4-14c19/20o
PF3D7_0323500.1-p1              0  0 i
PF3D7_0324100.1-p1              3  0 o6-26i162-182o188-205i
PF3D7_0324400.1-p1              1  Y n8-19c23/24o308-329i
PF3D7_0324500.1-p1              1  Y n8-19c26/27o275-297i
PF3D7_0324600.1-p1              1  Y n8-15c19/20o263-283i
PF3D7_0324800.1-p1              1  Y n8-20c26/27o330-351i
PF3D7_0324900.1-p1              1  0 o1720-1741i
PF3D7_0400100.1-p1              1  0 o2168-2190i
PF3D7_0400300.1-p1              1  0 o329-350i
PF3D7_0400400.1-p1              1  0 o3014-3035i
PF3D7_0400500.1-p1              1  0 o340-362i
PF3D7_0400700.1-p1              1  0 o341-360i
PF3D7_0400800.1-p1              2  0 i175-196o250-271i
PF3D7_0400900.1-p1              1  0 o288-309i
PF3D7_0401000.1-p1              1  Y n8-15c20/21o268-289i
PF3D7_0401200.1-p1              1  0 o322-347i
PF3D7_0401300.1-p1              1  0 o334-355i
PF3D7_0401400.1-p1              1  0 o288-309i
PF3D7_0401600.1-p1              1  Y n3-18c23/24o305-327i
PF3D7_0401800.1-p1              1  0 i12-31o
PF3D7_0402000.1-p1              1  0 o31-49i
PF3D7_0402100.1-p1              1  0 i15-34o
PF3D7_0402300.1-p1              1  0 o2898-2918i
PF3D7_0402400.1-p1              1  0 i12-29o
PF3D7_0402600.1-p1              1  Y n2-13c19/20o259-283i
PF3D7_0402900.1-p1              0  Y n3-14c22/23o
PF3D7_0403100.1-p1              1  0 o6-24i
PF3D7_0403300.1-p1              1  0 o6-24i
PF3D7_0403400.1-p1              6  0 o298-318i330-356o1046-1063i1143-1161o2126-2144i2415-2436o
PF3D7_0404000.1-p1              0  0 i
PF3D7_0404200.1-p1              0  0 i
PF3D7_0404400.1-p1              2  0 o20-45i52-80o
PF3D7_0404500.1-p1              2  0 i20-37o459-477i
PF3D7_0404600.1-p1              9  0 o1065-1088i1100-1120o1148-1169i1813-1832o2314-2335i3210-3228o3399-3416i3765-3785o3805-3824i
PF3D7_0404800.1-p1              0  Y n5-16c21/22o
PF3D7_0404900.1-p1              0  Y n3-13c20/21o
PF3D7_0405200.1-p1              0  0 i
PF3D7_0405300.1-p1              2  0 o6-27i226-246o
PF3D7_0405600.1-p1              4  0 i89-109o121-139i174-193o233-256i
PF3D7_0405800.1-p1              0  0 i
PF3D7_0405900.1-p1              1  0 o712-730i
PF3D7_0406200.1-p1              1  Y n10-20c25/26o105-126i
PF3D7_0406600.1-p1              0  0 i
PF3D7_0407000.1-p1              1  0 o365-386i
PF3D7_0407400.1-p1              0  0 i
PF3D7_0407800.1-p1              0  0 i
PF3D7_0408400.1-p1              0  0 i
PF3D7_0408600.1-p1              0  Y n4-16c21/22o
PF3D7_0408700.1-p1              0  Y n12-19c24/25o
PF3D7_0408800.1-p1              2  0 o6-28i215-240o
PF3D7_0409000.1-p1              0  0 i
PF3D7_0409400.1-p1              0  0 i
PF3D7_0409900.1-p1              0  0 i
PF3D7_0410000.1-p1              1  0 o762-784i
PF3D7_0410400.1-p1              0  0 i
PF3D7_0411200.1-p1              2  0 o6-22i217-239o
PF3D7_0411700.1-p1              1  0 o6-26i
PF3D7_0412000.1-p1              2  0 o180-206i253-270o
PF3D7_0412200.1-p1              1  0 i153-174o
PF3D7_0412400.1-p1              1  0 o1738-1762i
PF3D7_0412700.1-p1              1  0 o1810-1832i
PF3D7_0413100.1-p1              1  0 o1830-1852i
PF3D7_0413200.1-p1              1  0 o334-356i
PF3D7_0413300.1-p1              1  Y n8-21c28/29o305-326i
PF3D7_0414100.1-p1              5  Y n6-17c24/25o276-292i304-321o443-469i979-995o1411-1433i
PF3D7_0414200.1-p1              0  0 i
PF3D7_0414300.1-p1              3  0 i31-49o55-73i93-111o
PF3D7_0414400.1-p1              0  0 i
PF3D7_0414700.1-p1              0  Y n3-11c15/16o
PF3D7_0414900.1-p1              0  0 i
PF3D7_0415100.1-p1              0  0 i
PF3D7_0415400.1-p1              0  0 i
PF3D7_0415700.1-p1              0  Y n10-20c24/25o
PF3D7_0416600.1-p1              1  0 i109-126o
PF3D7_0416700.1-p1              0  0 i
PF3D7_0417000.1-p1              0  Y n3-13c18/19o
PF3D7_0417300.1-p1              2  0 o327-344i376-396o
PF3D7_0417400.1-p1             10  0 o251-268i275-291o999-1014i1026-1047o1505-1522i1585-1603o2124-2141i2548-2568o5505-5525i6405-6421o
PF3D7_0417700.1-p1              0  0 i
PF3D7_0418000.1-p1              8  0 o662-681i748-766o2258-2276i2646-2667o2687-2703i2715-2735o3217-3236i3703-3725o
PF3D7_0418400.1-p1              0  0 i
PF3D7_0418600.1-p1              0  0 i
PF3D7_0418800.1-p1              1  Y n3-14c19/20o232-254i
PF3D7_0418900.1-p1              0  0 i
PF3D7_0419100.1-p1              0  Y n14-24c28/29o
PF3D7_0419200.1-p1              4  0 i7-28o34-54i66-85o91-107i
PF3D7_0419400.1-p1              1  Y n8-20c25/26o2419-2442i
PF3D7_0419500.1-p1              5  0 o348-368i402-425o437-458i470-494o509-528i
PF3D7_0419700.1-p1              1  Y n10-20c24/25o307-324i
PF3D7_0420400.1-p1              0  0 i
PF3D7_0420700.1-p1              1  0 o1695-1717i
PF3D7_0420900.1-p1              1  0 o1754-1780i
PF3D7_0421100.1-p1              1  0 o1734-1760i
PF3D7_0421200.1-p1              1  Y n8-19c26/27o304-326i
PF3D7_0421300.1-p1              1  0 o1740-1766i
PF3D7_0421700.1-p1              3  0 o1550-1568i1758-1778o1784-1802i
PF3D7_0421900.1-p1              1  0 o6-24i
PF3D7_0422100.1-p1              1  Y n7-18c27/28o353-375i
PF3D7_0422200.1-p1              2  0 o2620-2638i3245-3262o
PF3D7_0422600.1-p1              0  0 i
PF3D7_0422800.1-p1              7  0 o232-252i273-292o304-323i335-351o363-383i404-424o430-450i
PF3D7_0423000.1-p1              0  0 i
PF3D7_0423200.1-p1              0  0 i
PF3D7_0423300.1-p1              1  0 i21-37o
PF3D7_0423400.1-p1              0  Y n4-12c17/18o
PF3D7_0423500.1-p1              5  0 o56-84i96-117o137-159i180-202o230-257i
PF3D7_0423700.1-p1              2  0 o6-28i53-76o
PF3D7_0423800.1-p1              0  Y n10-21c25/26o
PF3D7_0423900.1-p1              1  0 o41-61i
PF3D7_0424000.1-p1              0  Y n12-23c27/28o
PF3D7_0424100.1-p1              0  Y n8-20c24/25o
PF3D7_0424200.1-p1              1  Y n5-18c26/27o1628-1649i
PF3D7_0424400.1-p1              2  0 o663-683i744-762o
PF3D7_0424600.1-p1              1  0 i50-70o
PF3D7_0424800.1-p1              0  0 i
PF3D7_0424900.1-p1              1  0 i23-44o
PF3D7_0425100.1-p1              1  Y n4-14c18/19o177-195i
PF3D7_0425200.1-p1              2  Y n3-14c19/20o156-177i189-219o
PF3D7_0425400.1-p1              1  0 i30-49o
PF3D7_0425500.1-p1              1  Y n2-13c19/20o262-286i
PF3D7_0425700.1-p1              1  0 o283-304i
PF3D7_0425800.1-p1              1  0 o3124-3146i
PF3D7_0425900.1-p1              1  0 o283-304i
PF3D7_0426000.1-p1              1  0 o1666-1688i
PF3D7_0500100.1-p1              1  0 o1772-1793i
PF3D7_0500400.1-p1              1  Y n8-19c28/29o332-354i
PF3D7_0500500.1-p1              1  Y n8-19c26/27o268-289i
PF3D7_0500800.1-p1              1  0 i36-54o
PF3D7_0501000.1-p1              3  0 o44-61i206-224o230-248i
PF3D7_0501100.1-p1              1  0 i12-32o
PF3D7_0501200.1-p1              3  0 o6-22i362-383o389-407i
PF3D7_0501300.1-p1              1  0 o216-239i
PF3D7_0501400.1-p1              0  0 i
PF3D7_0501500.1-p1              0  Y n5-16c22/23o
PF3D7_0501600.1-p1              0  Y n5-15c21/22o
PF3D7_0502000.1-p1              2  0 o726-744i765-788o
PF3D7_0502200.1-p1              5  0 o276-295i315-333o353-377i397-416o422-440i
PF3D7_0502300.1-p1              0  0 i
PF3D7_0502400.1-p1              1  Y n8-19c25/26o575-596i
PF3D7_0502500.1-p1              2  Y n9-19c24/25o529-548i568-589o
PF3D7_0502700.1-p1              0  0 i
PF3D7_0502800.1-p1              0  0 i
PF3D7_0502900.1-p1              0  0 i
PF3D7_0503900.1-p1              1  0 o16-35i
PF3D7_0504100.1-p1              0  0 i
PF3D7_0504500.1-p1              1  Y n3-14c21/22o249-271i
PF3D7_0504800.1-p1              4  0 o2577-2594i2840-2858o3661-3681i4851-4872o
