Protein_id	Compartment	Score	Rank
PF3D7_0107100.1-p1	mito	10	3
PF3D7_0107100.1-p1	cyto	9.5	4
PF3D7_0107200.1-p1	cyto	26	1
PF3D7_0107200.1-p1	cyto_nucl	15	2
PF3D7_0107200.1-p1	mito	3	3
PF3D7_0107300.1-p1	extr	19	1
PF3D7_0107300.1-p1	E.R.	5.5	2
PF3D7_0107300.1-p1	E.R._golg	3.5	3
PF3D7_0107300.1-p1	lyso	3	4
PF3D7_0107300.1-p1	plas	2	5
PF3D7_0107400.1-p1	mito	26	1
PF3D7_0107400.1-p1	cyto	3	2
PF3D7_0107500.1-p1	plas	27	1
PF3D7_0107500.1-p1	nucl	5	2
PF3D7_0107600.1-p1	plas	28	1
PF3D7_0107600.1-p1	cyto	2	2
PF3D7_0107600.1-p1	E.R.	2	3
PF3D7_0107700.1-p1	plas	17	1
PF3D7_0107700.1-p1	E.R.	12	2
PF3D7_0107800.1-p1	cyto	20.5	1
PF3D7_0107800.1-p1	cyto_nucl	17.3333	2
PF3D7_0107800.1-p1	cyto_plas	11.3333	3
PF3D7_0107800.1-p1	nucl	10	4
PF3D7_0107900.1-p1	E.R.	23	1
PF3D7_0107900.1-p1	extr	7	2
PF3D7_0108000.1-p1	mito	15	1
PF3D7_0108000.1-p1	cyto	9	2
PF3D7_0108000.1-p1	mito_nucl	9	3
PF3D7_0108000.1-p1	cyto_pero	6	4
PF3D7_0108100.1-p1	mito	15	1
PF3D7_0108100.1-p1	cyto	12.5	2
PF3D7_0108100.1-p1	cyto_nucl	9	3
PF3D7_0108100.1-p1	nucl	4.5	4
PF3D7_0108300.1-p1	nucl	22.5	1
PF3D7_0108300.1-p1	cyto_nucl	16	2
PF3D7_0108300.1-p1	cyto	8.5	3
PF3D7_0108400.1-p1	cyto	19	1
PF3D7_0108400.1-p1	plas	4	2
PF3D7_0108400.1-p1	nucl	3	3
PF3D7_0108400.1-p1	extr_plas	3	4
PF3D7_0108400.1-p1	E.R.	2.5	5
PF3D7_0108400.1-p1	E.R._mito	2.5	6
PF3D7_0108400.2-p1	mito	13	1
PF3D7_0108400.2-p1	cyto	12.5	2
PF3D7_0108400.2-p1	cyto_nucl	8.5	3
PF3D7_0108400.2-p1	nucl	3.5	4
PF3D7_0108500.1-p1	cyto_nucl	11.5	1
PF3D7_0108500.1-p1	extr	10	2
PF3D7_0108500.1-p1	nucl	10	3
PF3D7_0108500.1-p1	cyto	7	4
PF3D7_0108500.1-p1	mito	4	5
PF3D7_0108600.1-p1	cyto_nucl	9.5	1
PF3D7_0108600.1-p1	nucl	9	2
PF3D7_0108600.1-p1	mito	8	3
PF3D7_0108600.1-p1	cyto	6	4
PF3D7_0108600.1-p1	plas	4	5
PF3D7_0108600.1-p1	E.R.	3	6
PF3D7_0108700.1-p1	E.R.	10	1
PF3D7_0108700.1-p1	plas	9	2
PF3D7_0108700.1-p1	extr	8	3
PF3D7_0108700.1-p1	pero	4	4
PF3D7_0108800.1-p1	cyto	23	1
PF3D7_0108800.1-p1	mito	3.5	2
PF3D7_0108800.1-p1	mito_pero	3	3
PF3D7_0108800.1-p1	nucl	2	4
PF3D7_0108800.1-p1	pero	1.5	5
PF3D7_0109000.1-p1	cyto	18	1
PF3D7_0109000.1-p1	cyto_nucl	15	2
PF3D7_0109000.1-p1	nucl	10	3
PF3D7_0109100.1-p1	extr	12	1
PF3D7_0109100.1-p1	cyto_nucl	8	2
PF3D7_0109100.1-p1	nucl	7.5	3
PF3D7_0109100.1-p1	cyto	7.5	4
PF3D7_0109100.1-p1	mito	3	5
PF3D7_0109200.1-p1	cyto_nucl	17.5	1
PF3D7_0109200.1-p1	cyto	17	2
PF3D7_0109200.1-p1	cyto_plas	11.5	3
PF3D7_0109200.1-p1	nucl	8.5	4
PF3D7_0109300.1-p1	plas	31	1
PF3D7_0109400.1-p1	cyto	21	1
PF3D7_0109400.1-p1	cyto_nucl	16	2
PF3D7_0109400.1-p1	cyto_plas	13.1667	3
PF3D7_0109400.1-p1	nucl	5.5	4
PF3D7_0109500.1-p1	cyto	17	1
PF3D7_0109500.1-p1	cyto_nucl	11.8333	2
PF3D7_0109500.1-p1	cyto_pero	10.3333	3
PF3D7_0109500.1-p1	extr	6	4
PF3D7_0109500.1-p1	nucl	5.5	5
PF3D7_0109600.1-p1	nucl	30	1
PF3D7_0109700.1-p1	mito	12	1
PF3D7_0109700.1-p1	nucl	9.5	2
PF3D7_0109700.1-p1	cyto_nucl	9.5	3
PF3D7_0109700.1-p1	cyto	8.5	4
PF3D7_0109800.1-p1	cyto	21.5	1
PF3D7_0109800.1-p1	cyto_nucl	16.8333	2
PF3D7_0109800.1-p1	cyto_pero	11.8333	3
PF3D7_0109800.1-p1	nucl	8	4
PF3D7_0109850.1-p1	plas	32	1
PF3D7_0109950.1-p1	cyto	17.5	1
PF3D7_0109950.1-p1	cyto_mito	11.3333	2
PF3D7_0109950.1-p1	plas	7	3
PF3D7_0109950.1-p1	mito	4	4
PF3D7_0109950.1-p1	extr_plas	4	5
PF3D7_0110000.1-p1	extr	19	1
PF3D7_0110000.1-p1	E.R.	10	2
PF3D7_0110100.1-p1	plas	17	1
PF3D7_0110100.1-p1	E.R.	9	2
PF3D7_0110100.1-p1	E.R._mito	7	3
PF3D7_0110100.1-p1	mito	3	4
PF3D7_0110200.1-p1	extr	14	1
PF3D7_0110200.1-p1	mito	8	2
PF3D7_0110200.1-p1	cyto	6	3
PF3D7_0110200.1-p1	cyto_nucl	5.5	4
PF3D7_0110200.1-p1	nucl	3	5
PF3D7_0110400.1-p1	extr	21	1
PF3D7_0110400.1-p1	cyto	7.5	2
PF3D7_0110400.1-p1	cyto_nucl	4.5	3
PF3D7_0110500.1-p1	nucl	22.5	1
PF3D7_0110500.1-p1	cyto_nucl	16	2
PF3D7_0110500.1-p1	cyto	8.5	3
PF3D7_0110600.1-p1	cyto	17	1
PF3D7_0110600.1-p1	cyto_nucl	13	2
PF3D7_0110600.1-p1	nucl	7	3
PF3D7_0110600.1-p1	mito	4	4
PF3D7_0110700.1-p1	cyto	23.5	1
PF3D7_0110700.1-p1	cyto_nucl	16	2
PF3D7_0110700.1-p1	nucl	7.5	3
PF3D7_0110800.1-p1	mito	14	1
PF3D7_0110800.1-p1	cyto	11	2
PF3D7_0110800.1-p1	nucl	5	3
PF3D7_0110900.1-p1	cyto	22	1
PF3D7_0110900.1-p1	mito	7	2
PF3D7_0111000.1-p1	cyto_nucl	19	1
PF3D7_0111000.1-p1	nucl	18	2
PF3D7_0111000.1-p1	cyto	14	3
PF3D7_0111200.1-p1	extr	20	1
PF3D7_0111200.1-p1	mito	8	2
PF3D7_0111200.1-p1	nucl	2	3
PF3D7_0111300.1-p1	cyto	16.5	1
PF3D7_0111300.1-p1	cyto_nucl	16.1667	2
PF3D7_0111300.1-p1	nucl	14.5	3
PF3D7_0111300.1-p1	cyto_mito	9.16667	4
PF3D7_0111300.1-p1	cyto_plas	9.16667	5
PF3D7_0111400.1-p1	nucl	18	1
PF3D7_0111400.1-p1	cyto_nucl	18	2
PF3D7_0111400.1-p1	cyto	14	3
PF3D7_0111500.1-p1	extr	16	1
PF3D7_0111500.1-p1	E.R.	13.5	2
PF3D7_0111500.1-p1	E.R._golg	7.5	3
PF3D7_0111600.1-p1	cyto	23.5	1
PF3D7_0111600.1-p1	cyto_pero	13	2
PF3D7_0111600.1-p1	extr	3	3
PF3D7_0111600.1-p1	nucl	3	4
PF3D7_0111700.1-p1	cyto	13	1
PF3D7_0111700.1-p1	cyto_nucl	11	2
PF3D7_0111700.1-p1	mito	9	3
PF3D7_0111700.1-p1	extr	5	4
PF3D7_0111700.1-p1	nucl	5	5
PF3D7_0111800.1-p1	nucl	17	1
PF3D7_0111800.1-p1	cyto	11.5	2
PF3D7_0111800.1-p1	cyto_mito	6.5	3
PF3D7_0111900.1-p1	extr	21	1
PF3D7_0111900.1-p1	cyto	11	2
PF3D7_0112000.1-p1	mito	13	1
PF3D7_0112000.1-p1	extr	10	2
PF3D7_0112000.1-p1	cyto	9	3
PF3D7_0112100.1-p1	extr	18	1
PF3D7_0112100.1-p1	E.R.	9	2
PF3D7_0112100.1-p1	plas	3	3
PF3D7_0112200.1-p1	plas	32	1
PF3D7_0112800.1-p1	extr	32	1
PF3D7_0112900.1-p1	extr	15	1
PF3D7_0112900.1-p1	plas	14	2
PF3D7_0113000.1-p1	E.R.	20	1
PF3D7_0113000.1-p1	extr	8	2
PF3D7_0113000.1-p1	plas	4	3
PF3D7_0113100.1-p1	cyto	20	1
PF3D7_0113100.1-p1	mito	5	2
PF3D7_0113100.1-p1	mito_pero	4	3
PF3D7_0113100.1-p1	plas	3	4
PF3D7_0113100.1-p1	nucl	3	5
PF3D7_0113200.1-p1	plas	27	1
PF3D7_0113200.1-p1	nucl	2	2
PF3D7_0113200.1-p1	cyto	2	3
PF3D7_0113200.1-p1	cyto_nucl	2	4
PF3D7_0113300.1-p1	E.R.	22	1
PF3D7_0113300.1-p1	extr	9	2
PF3D7_0113400.1-p1	plas	17	1
PF3D7_0113400.1-p1	cyto	6	2
PF3D7_0113400.1-p1	mito	4.5	3
PF3D7_0113400.1-p1	pero	4	4
PF3D7_0113700.1-p1	extr	21	1
PF3D7_0113700.1-p1	golg	7	2
PF3D7_0113700.1-p1	pero	2	3
PF3D7_0113800.1-p1	cyto	18.5	1
PF3D7_0113800.1-p1	cyto_nucl	12.5	2
PF3D7_0113800.1-p1	nucl	5.5	3
PF3D7_0113800.1-p1	plas	3	4
PF3D7_0113800.1-p1	mito	3	5
PF3D7_0113900.1-p1	plas	12	1
PF3D7_0113900.1-p1	extr	10	2
PF3D7_0113900.1-p1	E.R.	6	3
PF3D7_0113900.1-p1	cysk_plas	6	4
PF3D7_0113900.1-p1	cyto_plas	6	5
PF3D7_0114000.1-p1	cyto	16.5	1
PF3D7_0114000.1-p1	cyto_nucl	12.8333	2
PF3D7_0114000.1-p1	cyto_mito	9.5	3
PF3D7_0114000.1-p1	nucl	7	4
PF3D7_0114000.1-p1	plas	4	5
PF3D7_0114000.1-p1	pero	2.5	6
PF3D7_0114200.1-p1	mito	10	1
PF3D7_0114200.1-p1	E.R.	10	2
PF3D7_0114200.1-p1	E.R._mito	10	3
PF3D7_0114500.1-p1	extr	25	1
PF3D7_0114500.1-p1	plas	6	2
PF3D7_0114700.1-p1	pero	10	1
PF3D7_0114700.1-p1	extr	8	2
PF3D7_0114700.1-p1	extr_plas	7.5	3
PF3D7_0114700.1-p1	plas	5	4
PF3D7_0114700.1-p1	cyto_pero	5	5
PF3D7_0114700.1-p1	mito	3	6
PF3D7_0114700.1-p1	E.R.	3	7
PF3D7_0114700.1-p1	E.R._mito	3	8
PF3D7_0114750.1-p1	cyto	19	1
PF3D7_0114750.1-p1	cyto_nucl	16.6667	2
PF3D7_0114750.1-p1	cyto_plas	11.5	3
PF3D7_0114750.1-p1	nucl	8	4
PF3D7_0114800.1-p1	plas	16	1
PF3D7_0114800.1-p1	extr	9	2
PF3D7_0114800.1-p1	E.R.	4	3
PF3D7_0115000.1-p1	plas	24	1
PF3D7_0115000.1-p1	mito	4	2
PF3D7_0115000.1-p1	pero	2	3
PF3D7_0115000.1-p1	E.R._mito	2	4
PF3D7_0115000.1-p1	cyto_mito	2	5
PF3D7_0115100.1-p1	extr	20	1
PF3D7_0115100.1-p1	E.R.	10	2
PF3D7_0115200.1-p1	pero	16	1
PF3D7_0115200.1-p1	E.R.	9	2
PF3D7_0115200.1-p1	extr	5	3
PF3D7_0115200.1-p1	E.R._golg	5	4
PF3D7_0115300.1-p1	pero	12	1
PF3D7_0115300.1-p1	extr	7	2
PF3D7_0115300.1-p1	extr_plas	6.5	3
PF3D7_0115300.1-p1	mito_pero	6.5	4
PF3D7_0115300.1-p1	E.R.	6	5
PF3D7_0115300.1-p1	cyto_pero	6	6
PF3D7_0115400.1-p1	pero	16	1
PF3D7_0115400.1-p1	E.R.	8	2
PF3D7_0115400.1-p1	mito_pero	8	3
PF3D7_0115400.1-p1	cyto_pero	8	4
PF3D7_0115600.1-p1	plas	13	1
PF3D7_0115600.1-p1	E.R.	9	2
PF3D7_0115600.1-p1	extr	3	3
PF3D7_0115600.1-p1	mito_pero	2.5	4
PF3D7_0115600.1-p1	pero	2	5
PF3D7_0115600.1-p1	lyso	2	6
PF3D7_0115600.1-p1	golg	2	7
PF3D7_0115700.1-p1	cyto	16.5	1
PF3D7_0115700.1-p1	cyto_mito	10.1667	2
PF3D7_0115700.1-p1	nucl	7	3
PF3D7_0115700.1-p1	mito_pero	3.33333	4
PF3D7_0115700.1-p1	mito	2.5	5
PF3D7_0115700.1-p1	pero	2	6
PF3D7_0115700.1-p1	extr_plas	2	7
PF3D7_0200100.1-p1	cyto	20.5	1
PF3D7_0200100.1-p1	cyto_mito	11	2
PF3D7_0200100.1-p1	nucl	10	3
PF3D7_0200200.1-p1	pero	11	1
PF3D7_0200200.1-p1	E.R.	6	2
PF3D7_0200200.1-p1	mito_pero	6	3
PF3D7_0200200.1-p1	plas	5	4
PF3D7_0200200.1-p1	extr	5	5
PF3D7_0200200.1-p1	extr_plas	5	6
PF3D7_0200300.1-p1	mito	21.5	1
PF3D7_0200300.1-p1	cyto_mito	13.1667	2
PF3D7_0200300.1-p1	nucl	7	3
PF3D7_0200300.1-p1	cyto_nucl	6.33333	4
PF3D7_0200400.1-p1	plas	24	1
PF3D7_0200400.1-p1	pero	4	2
PF3D7_0200400.1-p1	golg	2	3
PF3D7_0200400.1-p1	mito_pero	2	4
PF3D7_0200400.1-p1	cyto_pero	2	5
PF3D7_0200500.1-p1	pero	18	1
PF3D7_0200500.1-p1	plas	4	2
PF3D7_0200500.1-p1	mito	4	3
PF3D7_0200500.1-p1	cyto	3	4
PF3D7_0200500.1-p1	E.R._mito	3	5
PF3D7_0200600.1-p1	E.R.	11	1
PF3D7_0200600.1-p1	plas	9	2
PF3D7_0200600.1-p1	extr	6	3
PF3D7_0200600.1-p1	lyso	3	4
PF3D7_0200700.1-p1	pero	15	1
PF3D7_0200700.1-p1	E.R.	8	2
PF3D7_0200700.1-p1	extr	6	3
PF3D7_0201000.1-p1	plas	16	1
PF3D7_0201000.1-p1	extr	5	2
PF3D7_0201000.1-p1	E.R.	5	3
PF3D7_0201000.1-p1	lyso	3	4
PF3D7_0201100.1-p1	cyto	22	1
PF3D7_0201100.1-p1	cyto_nucl	16.8333	2
PF3D7_0201100.1-p1	cyto_plas	12	3
PF3D7_0201100.1-p1	nucl	8.5	4
PF3D7_0201200.1-p1	E.R.	10	1
PF3D7_0201200.1-p1	extr	6	2
PF3D7_0201200.1-p1	pero	6	3
PF3D7_0201200.1-p1	plas	4	4
PF3D7_0201200.1-p1	golg	3	5
PF3D7_0201200.1-p1	cyto_pero	3	6
PF3D7_0201300.1-p1	plas	19	1
PF3D7_0201300.1-p1	pero	7	2
PF3D7_0201300.1-p1	E.R.	3	3
PF3D7_0201400.1-p1	extr	28	1
PF3D7_0201400.1-p1	pero	2	2
PF3D7_0201500.1-p1	plas	21	1
PF3D7_0201500.1-p1	extr	5	2
PF3D7_0201500.1-p1	pero	2	3
PF3D7_0201500.1-p1	golg	2	4
PF3D7_0201600.1-p1	plas	20	1
PF3D7_0201600.1-p1	nucl	3	2
PF3D7_0201600.1-p1	cyto	3	3
PF3D7_0201600.1-p1	mito	3	4
PF3D7_0201600.1-p1	cyto_nucl	3	5
PF3D7_0201600.1-p1	mito_pero	3	6
PF3D7_0201700.1-p1	E.R.	11.5	1
PF3D7_0201700.1-p1	E.R._golg	8.5	2
PF3D7_0201700.1-p1	extr	6	3
PF3D7_0201700.1-p1	mito_pero	5.5	4
PF3D7_0201700.1-p1	pero	5	5
PF3D7_0201700.1-p1	golg	4.5	6
PF3D7_0201800.1-p1	E.R.	14	1
PF3D7_0201800.1-p1	extr	13	2
PF3D7_0201800.1-p1	golg	2	3
PF3D7_0201900.1-p1	extr	14	1
PF3D7_0201900.1-p1	E.R._golg	10	2
PF3D7_0201900.1-p1	E.R.	9	3
PF3D7_0201900.1-p1	golg	9	4
PF3D7_0202000.1-p1	extr	15	1
PF3D7_0202000.1-p1	E.R.	8	2
PF3D7_0202000.1-p1	E.R._golg	8	3
PF3D7_0202000.1-p1	golg	6	4
PF3D7_0202100.1-p1	cyto	25	1
PF3D7_0202100.1-p1	nucl	3	2
PF3D7_0202100.1-p1	pero	2	3
PF3D7_0202200.1-p1	plas	18	1
PF3D7_0202200.1-p1	mito	5	2
PF3D7_0202200.1-p1	cyto	4	3
PF3D7_0202200.1-p1	nucl	2	4
PF3D7_0202200.1-p1	E.R.	2	5
